"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"160",226.90687682049,-207.954678053745,91.463244484314,118.629636352943,118.249979888318,117.790673431029,167.030961771014,54.2123636646448,179.693072975826,198.048661849808,104.642551544447
"161",221.854298563082,-204.664856680523,90.8453587202724,116.877152727955,116.492923010191,115.943923059176,166.911966181487,50.2345469207938,180.697703504862,199.09727526795,101.554083929477
"162",216.165768041361,-200.45390494071,89.5085416594604,114.685498371536,114.171039342214,113.581608696774,165.510139552384,46.5163551445757,180.591654710566,198.683920733298,98.1229006262901
"163",209.920446609396,-195.447530774412,87.5446588485493,112.091551439738,111.344963086158,110.760846270389,162.993348214188,43.0467330535307,179.414862316018,196.913633566145,94.409739160212
"164",203.197328655124,-189.765153315763,85.049170169561,109.137356064691,108.080517541981,107.541531581799,159.525905087093,39.8133160006335,177.231064972628,193.916472372755,90.4748318088113
"165",196.074291034466,-183.519638251799,82.1168329695663,105.868217273444,104.445747865176,103.984519253097,155.264132857727,36.8030930488888,174.122554731749,189.837571488073,86.3761215264939
"166",188.627225213839,-176.817001689846,78.8385413729957,102.331075137563,100.50854245293,100.150089853763,150.353694912996,34.0028847560223,170.184961079923,184.828872623513,82.1679825851526
"167",180.929252370645,-169.756119650874,75.2991299820883,98.5731384782567,96.3347789748495,96.0966900571949,144.928169840756,31.399677052191,165.52235287658,179.042574566819,77.9003561444691
"168",173.050029802203,-162.428476917053,71.5759680979389,94.6407592833665,91.9869288156658,91.8799287472243,139.108471000162,28.9808456802324,160.24285588174,172.626187098287,73.6182215819642
"169",165.055158992235,-154.917981878269,67.738182238988,90.5785290010848,87.5230555453605,87.5518098163587,133.0028232867,26.7342989733205,154.45490260098,165.718993060836,69.3613352663294
"170",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"171",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"172",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"173",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"174",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"175",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"176",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"177",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"178",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"179",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"180",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"181",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"182",1.27204803190102,0.197179412862869,-0.0213776560647948,0.0118601599524856,0.00326111885669358,-0.00384652455907761,-0.00671494415882825,0.0248707633115947,0.00513265169594423,0.0185679472631334,0.00831396351434864
"183",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"184",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"185",1.27204803192974,0.197179412871974,-0.0213776559684106,0.0118601598953114,0.00326111883901974,-0.00384652454454277,-0.00671494412962814,0.0248707631958349,0.00513265166922061,0.0185679471746902,0.00831396347346892
"186",1.27098911090833,0.196848033485944,-0.0248577683214761,0.0139510156485644,0.00392077123279119,-0.0043514088403517,-0.00776091038673429,0.0290767450161545,0.00612293522593787,0.0217943528136264,0.00981444161995223
"187",1.27098919838135,0.196848060095317,-0.0248574879609558,0.0139508447278721,0.00392071594818137,-0.0043513699646828,-0.00776082693705517,0.0290764020086706,0.00612285353087035,0.0217940895526396,0.00981431826615306
